timestamp,test-class,test-method,time,description,result
"2022-05-31 19:13:03.337","acme.testing.inventor.huster.InventorHusterCreateTest","positiveTest",23962,""[1] itemRecordIndex=17, recordIndex=0, code=po21-220531, themes=Prueba huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/12 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 19:13:10.937","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",7206,""[1] itemRecordIndex=17, recordIndex=0, code=null, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","Cannot find 'By.xpath: //a[@class='btn btn-dark' and normalize-space()='Create huster']'"
"2022-05-31 19:13:20.343","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",8990,""[2] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=null, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","Cannot find 'By.xpath: //a[@class='btn btn-dark' and normalize-space()='Create huster']'"
"2022-05-31 19:13:28.065","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",7224,""[3] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=null, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","Cannot find 'By.xpath: //a[@class='btn btn-dark' and normalize-space()='Create huster']'"
"2022-05-31 19:13:36.212","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",7749,""[4] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=null, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","Cannot find 'By.xpath: //a[@class='btn btn-dark' and normalize-space()='Create huster']'"
"2022-05-31 19:13:43.842","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",7169,""[5] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=null, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","Cannot find 'By.xpath: //a[@class='btn btn-dark' and normalize-space()='Create huster']'"
"2022-05-31 19:13:50.333","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",6045,""[6] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=null, additionalInfo=https://www.twitch.tv"","The action didn't work well"
