timestamp,test-class,test-method,time,description,result
"2022-06-01 12:19:25.687","acme.testing.inventor.xx1.InventorXx1CreateTest","positiveTest",24136,""[1] itemRecordIndex=17, recordIndex=0, code=po21-, xx3=Prueba xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/12 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Cannot find 'By.id: list'"
"2022-06-01 12:19:43.193","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",16951,""[1] itemRecordIndex=22, recordIndex=0, code=null, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-06-01 12:19:58.876","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",15122,""[2] itemRecordIndex=22, recordIndex=0, code=po22-220531, xx3=null, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
