timestamp,test-class,test-method,time,description,result
"2022-06-02 22:09:32.57","acme.testing.inventor.huster.InventorHusterUpdateTest","positiveTest",25981,""[1] itemRecordIndex=7, recordIndex=0, code=po01-, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/21 00:00, endPeriod=2022/08/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:09:44.304","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11325,""[1] itemRecordIndex=7, recordIndex=0, code=null, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:09:55.764","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11027,""[2] itemRecordIndex=7, recordIndex=0, code=po22-220531, themes=null, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:10:06.928","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10774,""[3] itemRecordIndex=7, recordIndex=0, code=po22-220531, themes=Primer huster, statement=null, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:10:18.58","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11295,""[4] itemRecordIndex=7, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=null, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:10:30.422","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11512,""[5] itemRecordIndex=7, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=null, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:10:41.711","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10929,""[6] itemRecordIndex=7, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=null, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:10:52.626","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10546,""[7] itemRecordIndex=7, recordIndex=0, code=po22-220401, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:11:03.218","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10223,""[8] itemRecordIndex=7, recordIndex=0, code=po22-220531, themes=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:11:14.162","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10594,""[9] itemRecordIndex=7, recordIndex=0, code=po22-220531, themes=Primer huster, statement=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:11:25.181","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10677,""[10] itemRecordIndex=7, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/05/01 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:11:36.138","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10610,""[11] itemRecordIndex=7, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/01 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:11:47.202","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10675,""[12] itemRecordIndex=7, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR -15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:11:57.676","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10126,""[13] itemRecordIndex=7, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=BTC 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:12:08.607","acme.testing.inventor.huster.InventorHusterListTest","positiveTest",9546,""[1] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/05/01 00:00, endPeriod=2022/05/10 00:00, provision=EUR 15,000.00"","OK"
"2022-06-02 22:12:19.91","acme.testing.inventor.huster.InventorHusterShowTest","positiveTest",9878,""[1] itemRecordIndex=7, recordIndex=0, code=po01-220529, creationMoment=2022/05/01 00:00, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/05/01 00:00, endPeriod=2022/05/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
