timestamp,test-class,test-method,time,description,result
"2022-05-31 21:06:09.108","acme.testing.inventor.huster.InventorHusterUpdateTest","positiveTest",20083,""[1] itemRecordIndex=14, recordIndex=0, code=po01-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/21 00:00, endPeriod=2022/08/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 21:06:21.032","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11519,""[1] itemRecordIndex=14, recordIndex=0, code=null, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 21:06:32.348","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10952,""[2] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=null, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 21:06:44.443","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11717,""[3] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=null, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 21:06:55.973","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11151,""[4] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=null, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 21:07:07.296","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10910,""[5] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=null, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 21:07:18.675","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11011,""[6] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=null, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 21:07:30.131","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11070,""[7] itemRecordIndex=14, recordIndex=0, code=po22-220401, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 21:07:41.43","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10822,""[8] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 21:07:52.866","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11045,""[9] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 21:08:03.984","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10734,""[10] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/05/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 21:08:15.19","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10850,""[11] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/02/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
