timestamp,test-class,test-method,time,description,result
"2022-06-02 22:38:19.402","acme.testing.inventor.huster.InventorHusterUpdateTest","positiveTest",19419,""[1] itemRecordIndex=7, recordIndex=0, code=po01-, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/21 00:00, endPeriod=2022/08/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:38:30.429","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10619,""[1] itemRecordIndex=7, recordIndex=0, code=null, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:38:41.22","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10444,""[2] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=null, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:38:51.594","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10030,""[3] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=null, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:39:02.119","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10192,""[4] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=null, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:39:12.444","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9988,""[5] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=null, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:39:22.887","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10064,""[6] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=null, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:39:33.641","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10436,""[7] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:39:43.962","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9991,""[8] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:39:54.334","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10026,""[9] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:40:04.662","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10000,""[10] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/05/01 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:40:14.987","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9966,""[11] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/01 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:40:25.159","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9821,""[12] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR -15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:40:35.403","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9914,""[13] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=BTC 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:40:46.071","acme.testing.inventor.huster.InventorHusterListTest","positiveTest",9358,""[1] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/05/01 00:00, endPeriod=2022/05/10 00:00, provision=EUR 15,000.00"","OK"
"2022-06-02 22:40:56.611","acme.testing.inventor.huster.InventorHusterShowTest","positiveTest",9357,""[1] itemRecordIndex=7, recordIndex=0, code=po01-220529, creationMoment=2022/05/01 00:00, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/05/01 00:00, endPeriod=2022/05/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:40:56.953","acme.testing.inventor.huster.InventorHusterShowTest","negativeTest",2,""negativeTest()"","OK"
"2022-06-02 22:40:57.291","acme.testing.inventor.huster.InventorHusterShowTest","hackingTest",0,""hackingTest()"","OK"
"2022-06-02 22:41:12.176","acme.testing.inventor.huster.InventorHusterCreateTest","positiveTest",13691,""[1] itemRecordIndex=2, recordIndex=0, code=po21-, themes=Prueba huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:41:24.869","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",12359,""[1] itemRecordIndex=13, recordIndex=0, code=null, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:41:36.963","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",11758,""[2] itemRecordIndex=13, recordIndex=0, code=po22-220531, themes=null, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
