timestamp,test-class,test-method,time,description,result
"2022-05-31 20:04:14.279","acme.testing.inventor.huster.InventorHusterCreateTest","positiveTest",27700,""[1] itemRecordIndex=17, recordIndex=0, code=po21-220531, themes=Prueba huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/12 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:04:29.965","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",15175,""[1] itemRecordIndex=22, recordIndex=0, code=null, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:04:45.765","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",15182,""[2] itemRecordIndex=22, recordIndex=0, code=po22-220531, themes=null, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:05:00.944","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",14699,""[3] itemRecordIndex=22, recordIndex=0, code=po22-220531, themes=Primer huster, statement=null, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:05:15.938","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",14483,""[4] itemRecordIndex=22, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=null, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:05:31.326","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",14914,""[5] itemRecordIndex=22, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=null, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:05:45.248","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",13416,""[6] itemRecordIndex=22, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=null, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:05:59.501","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",13787,""[7] itemRecordIndex=22, recordIndex=0, code=po22-220401, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:06:13.977","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",13930,""[8] itemRecordIndex=22, recordIndex=0, code=po22-220531, themes=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:06:29.188","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",14725,""[9] itemRecordIndex=22, recordIndex=0, code=po22-220531, themes=Primer huster, statement=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:06:43.713","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",14050,""[10] itemRecordIndex=22, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","Errors were expected, but not found"
