timestamp,test-class,test-method,time,description,result
"2022-06-03 17:01:40.516","acme.testing.inventor.huster.InventorHusterUpdateTest","positiveTest",25037,""[1] itemRecordIndex=7, recordIndex=0, code=/roo, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/21 00:00, endPeriod=2022/08/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:02:05.342","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",23724,""[1] itemRecordIndex=7, recordIndex=0, code=null, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:02:27.995","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",21410,""[2] itemRecordIndex=7, recordIndex=0, code=22/0603/roo, themes=null, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:02:47.909","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",19162,""[3] itemRecordIndex=7, recordIndex=0, code=22/0603/roo, themes=Primer huster, statement=null, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:03:05.116","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",16609,""[4] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=null, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:03:29.463","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",23094,""[5] itemRecordIndex=7, recordIndex=0, code=22/0603/roo, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=null, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:03:55.422","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",24237,""[6] itemRecordIndex=7, recordIndex=0, code=22/0603/roo, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=null, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:04:24.009","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",27426,""[7] itemRecordIndex=7, recordIndex=0, code=22/0903/roo, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:04:45.097","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",19664,""[8] itemRecordIndex=7, recordIndex=0, code=22/0603/roo, themes=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:05:03.933","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",17583,""[9] itemRecordIndex=7, recordIndex=0, code=22/0603/roo, themes=Primer huster, statement=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:05:22.335","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",17797,""[10] itemRecordIndex=7, recordIndex=0, code=22/0603/roo, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/05/01 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:05:40.158","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",17222,""[11] itemRecordIndex=7, recordIndex=0, code=22/0603/roo, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/01 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:05:50.564","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9813,""[12] itemRecordIndex=7, recordIndex=0, code=22/0603/roo, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR -15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:06:00.693","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9788,""[13] itemRecordIndex=7, recordIndex=0, code=22/0603/roo, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=BTC 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:06:10.519","acme.testing.inventor.huster.InventorHusterShowTest","positiveTest",8684,""[1] itemRecordIndex=7, recordIndex=0, code=22/0603/roo, creationMoment=2022/05/01 00:00, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/05/01 00:00, endPeriod=2022/05/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 17:06:10.833","acme.testing.inventor.huster.InventorHusterShowTest","negativeTest",0,""negativeTest()"","OK"
"2022-06-03 17:06:11.179","acme.testing.inventor.huster.InventorHusterShowTest","hackingTest",1,""hackingTest()"","OK"
