timestamp,test-class,test-method,time,description,result
"2022-06-01 12:29:51.041","acme.testing.inventor.huster.InventorHusterUpdateTest","positiveTest",21471,""[1] itemRecordIndex=14, recordIndex=0, code=po01-, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/21 00:00, endPeriod=2022/08/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","Expected value 'po01-' in attribute 0 of record 0, but found 'po01-220601'"
"2022-06-01 12:30:05.024","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",13313,""[1] itemRecordIndex=14, recordIndex=0, code=null, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-01 12:30:19.091","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",13560,""[2] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=null, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-01 12:30:33.853","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",14226,""[3] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=null, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-01 12:30:49.504","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",15035,""[4] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=null, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
